91247,"0209.1","1617-02-26T00:00:00Z","1617-10-07T00:00:00Z","Texel","Bantam","Texel-Bantam",3
91248,"0210.1","1617-02-26T00:00:00Z","1617-10-23T00:00:00Z","Texel","Bantam","Texel-Bantam",3
91249,"0211.1","1617-02-26T00:00:00Z","1618-01-07T00:00:00Z","Wielingen","Bantam","Wielingen-Bantam",2
91250,"0212.2","1617-04-22T00:00:00Z","1617-10-22T00:00:00Z","Texel","Bantam","Texel-Bantam",3
91251,"0213.1","1617-04-22T00:00:00Z","1617-10-22T00:00:00Z","Texel","Bantam","Texel-Bantam",3
91252,"0214.2","1617-10-31T00:00:00Z","1618-06-22T00:00:00Z","Texel","Pondicherry","Texel-Pondicherry",35
91253,"0215.2","1617-11-07T00:00:00Z","1618-09-20T00:00:00Z","Wielingen","Masulipatnam","Wielingen-Masulipatnam",36
91254,"0216.1","1617-11-07T00:00:00Z","1618-04-30T00:00:00Z","Wielingen","Bantam","Wielingen-Bantam",2
91255,"0217.1","1617-12-02T00:00:00Z","1618-07- T00:00:00Z","Texel","Jacatra","Texel-Jacatra",37
91256,"0218.2","1618-01-04T00:00:00Z","1618-08-22T00:00:00Z","Texel","Bantam","Texel-Bantam",3
91257,"0219.3","1618-04-01T00:00:00Z","1618-10-13T00:00:00Z","Goeree","Bantam","Goeree-Bantam",30
91258,"0220.1","1618-05-04T00:00:00Z","T00:00:00Z","Texel","Bantam","Texel-Bantam",3
91259,"0221.3","1618-06-01T00:00:00Z","1619-01-16T00:00:00Z","Goeree","Bantam","Goeree-Bantam",30
91260,"0222.2","1618-12-05T00:00:00Z","1619-09-13T00:00:00Z","Wielingen","Jacatra","Wielingen-Jacatra",38
91261,"0223.1","1618-12-28T00:00:00Z","1619-09-03T00:00:00Z","Texel","Bantam","Texel-Bantam",3
91262,"0224.2","1618-12-28T00:00:00Z","1619-07-06T00:00:00Z","Texel","Bantam","Texel-Bantam",3
91263,"0225.2","1618-12-28T00:00:00Z","T00:00:00Z","Texel","Coromandel","Texel-Coromandel",39
91264,"0226.1","1618-12-28T00:00:00Z","T00:00:00Z","Texel",\N,"Texel",14
91265,"0227.1","1618-12-28T00:00:00Z","1620-02-09T00:00:00Z","Texel","Jacatra","Texel-Jacatra",37
91266,"0228.2","1618-12-28T00:00:00Z","1619-09-19T00:00:00Z","Texel","Jacatra","Texel-Jacatra",37
91267,"0229.2","1618-12-28T00:00:00Z","1619-09-16T00:00:00Z","Wielingen","Jacatra","Wielingen-Jacatra",38
91268,"0230.3","1619-01-25T00:00:00Z","1619-08-07T00:00:00Z","Goeree","Jacatra","Goeree-Jacatra",40
91269,"0231.1","1619-01-27T00:00:00Z","1619-09-03T00:00:00Z","Texel","Bantam","Texel-Bantam",3
91270,"0232.2","1619-01-27T00:00:00Z","1619-08-07T00:00:00Z","Wielingen","Bantam","Wielingen-Bantam",2
91271,"0233.3","1619-05-13T00:00:00Z","1620-01-28T00:00:00Z","Texel","Bantam","Texel-Bantam",3
91272,"0234.2","1619-05-13T00:00:00Z","1620-03-22T00:00:00Z","Texel","Jacatra","Texel-Jacatra",37
91273,"0235.2","1619-05-13T00:00:00Z","1620-07-27T00:00:00Z","Texel","Jacatra","Texel-Jacatra",37
91274,"0236.2","1619-05-16T00:00:00Z","1619-11-20T00:00:00Z","Wielingen","Bantam","Wielingen-Bantam",2
91275,"0237.2","1619-05-16T00:00:00Z","1619-12-01T00:00:00Z","Wielingen","Bantam","Wielingen-Bantam",2
